Filename,Field,Textual Score,WER,CER,Levenshtein,Precision,Recall,F1,Found
215875,Title,,0.8,0.7413793103448276,0.42574257425742573,,,,0
215875,Author,,1.0,0.8947368421052632,0.4857142857142857,,,,0
215875,Publication Year,,,,,1.0,1.0,1.0,1
215875,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
217292,Title,,1.6923076923076923,1.1061946902654867,0.5252100840336135,,,,0
217292,Author,,4.0,4.083333333333333,0.8121546961325967,,,,0
217292,Publication Year,,,,,1.0,1.0,1.0,1
217292,Groundwater level mentioned,,,,,0.0,0.0,0.0,0
219907,Title,,0.42857142857142855,0.02564102564102564,0.02531645569620253,,,,1
219907,Author,,9.0,11.0,0.9166666666666666,,,,0
219907,Publication Year,,,,,1.0,1.0,1.0,1
219907,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
226004,Title,,2.4166666666666665,1.7708333333333333,0.6390977443609023,,,,0
226004,Author,,10.0,10.5,0.9130434782608695,,,,0
226004,Publication Year,,,,,1.0,1.0,1.0,1
226004,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
226696,Title,,4.0,1.4375,0.7863247863247863,,,,0
226696,Author,,3.5,5.875,0.94,,,,0
226696,Publication Year,,,,,1.0,1.0,1.0,1
226696,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
471653,Title,,1.0,0.8333333333333334,0.8333333333333334,,,,0
471653,Author,,1.0,0.96,0.75,,,,0
471653,Publication Year,,,,,1.0,1.0,1.0,1
471653,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
517600,Title,,4.625,2.478723404255319,0.8262411347517731,,,,0
517600,Author,,6.75,8.25,0.9116022099447514,,,,0
517600,Publication Year,,,,,1.0,1.0,1.0,1
517600,Groundwater level mentioned,,,,,0.0,0.0,0.0,0
521278,Title,,3.857142857142857,1.7619047619047619,0.6379310344827587,,,,0
521278,Author,,5.2,5.92,0.8869047619047619,,,,0
521278,Publication Year,,,,,1.0,1.0,1.0,1
521278,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
