Filename,Field,Textual Score,WER,CER,Levenshtein,Precision,Recall,F1,Found
215875,Title,,0.0,0.0,0.0,,,,1
215875,Author,,0.3333333333333333,0.05263157894736842,0.05263157894736842,,,,1
215875,Publication Year,,,,,1.0,1.0,1.0,1
215875,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
217292,Title,,0.0,0.0,0.0,,,,1
217292,Author,,0.16666666666666666,0.027777777777777776,0.027777777777777776,,,,1
217292,Publication Year,,,,,1.0,1.0,1.0,1
217292,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
219907,Title,,1.0,0.8205128205128205,0.8205128205128205,,,,0
219907,Author,,4.0,3.0,0.75,,,,0
219907,Publication Year,,,,,1.0,1.0,1.0,1
219907,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
226004,Title,,0.3333333333333333,0.3958333333333333,0.3958333333333333,,,,0
226004,Author,,0.0,0.0,0.0,,,,1
226004,Publication Year,,,,,1.0,1.0,1.0,1
226004,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
226696,Title,,1.0,0.71875,0.71875,,,,0
226696,Author,,1.0,1.0,1.0,,,,0
226696,Publication Year,,,,,1.0,1.0,1.0,1
226696,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
471653,Title,,1.2,0.9,0.84375,,,,0
471653,Author,,1.0,1.0,0.8064516129032258,,,,0
471653,Publication Year,,,,,1.0,1.0,1.0,1
471653,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
517600,Title,,1.0,1.0,1.0,,,,0
517600,Author,,1.0,0.95,0.8260869565217391,,,,0
517600,Publication Year,,,,,1.0,1.0,1.0,1
517600,Groundwater level mentioned,,,,,0.0,0.0,0.0,0
521278,Title,,0.7142857142857143,0.6904761904761905,0.6904761904761905,,,,0
521278,Author,,1.0,0.84,0.84,,,,0
521278,Publication Year,,,,,1.0,1.0,1.0,1
521278,Groundwater level mentioned,,,,,1.0,1.0,1.0,1
